MesañoISIN;mes-año;mes;año;Fecha;Name ;Peso;Peso en %;ISIN 1;Sector;ISIN 2;ISIN 3;ISIN 4;;
112001-ES0116870314;112001;11;2001;1/11/01;NATURGY ENERGY;1,21;1,21%;ES0116870314;Utilities;ES0116870215;ES0116870413;;;
112001-ES0111845014;112001;11;2001;1/11/01;ABERTIS;1,11;1,11%;ES0111845014;Industrial;;;;;
112001-ES0162601019;112001;11;2001;1/11/01;FERROVIAL;0,99;0,99%;ES0162601019;Industrial;ES0162601019;;;;error
112001-ES0178483139;112001;11;2001;1/11/01;SOGECABLE;0,93;0,93%;ES0178483139;Telecommunications Services;;;;;
112001-ES0109067019;112001;11;2001;1/11/01;AMADEUS;0,92;0,92%;ES0109067019;Technology;ES0184633032;;;;
112001-ES0125220311;112001;11;2001;1/11/01;ACCIONA;0,87;0,87%;ES0125220311;Industrial;;;;;
112001-ES0113679I37;112001;11;2001;1/11/01;BANKINTER 'R';0,85;0,85%;ES0113679I37;Financials;ES0113679338;;;;
112001-ES0127070110;112001;11;2001;1/11/01;DRAGADOS;0,83;0,83%;ES0127070110;Industrial;;;;;
112001-ES0138991015;112001;11;2001;1/11/01;ACERALIA;0,74;0,74%;ES0138991015;Industrial;;;;;
112001-ES0132105018;112001;11;2001;1/11/01;ACERINOX 'R';0,73;0,73%;ES0132105018;Industrial;ES0132105331;;;;
112001-ES0117160111;112001;11;2001;1/11/01;COR.ALBA;0,63;0,63%;ES0117160111;Financials;ES0117160012;;;;
112001-ES0169501022;112001;11;2001;1/11/01;PHARMA MAR;0,63;0,63%;ES0169501022;Healthcare;ES0169501030;ES0184940817;ES0184940312;;
112001-ES0118095019;112001;11;2001;1/11/01;CARREFOUR;0,61;0,61%;ES0118095019;Consumer Non-Cyclical;;;;;
112001-ES0122060314;112001;11;2001;1/11/01;FCC;0,60;0,60%;ES0122060314;Industrial;;;;;
112001-ES0167050915;112001;11;2001;1/11/01;ACS ACTIV.CONSTR.Y SERV.;0,59;0,59%;ES0167050915;Industrial;ES0167050311;;;;
112001-ES0178419117;112001;11;2001;1/11/01;TPI;0,57;0,57%;ES0178419117;Energy;ES0178419018;;;;
112001-ES0171743901;112001;11;2001;1/11/01;PRISA A;0,50;0,50%;ES0171743901;Consumer Cyclical;ES0171743117;;;;
112001-ES0118594417;112001;11;2001;1/11/01;INDRA SISTEMAS;0,49;0,49%;ES0118594417;Technology;ES0118594011;;;;
112001-ES0161560018;112001;11;2001;1/11/01;NH HOTELES;0,45;0,45%;ES0161560018;Consumer Cyclical;;;;;
112001-ES0176252718;112001;11;2001;1/11/01;MELIA HOTELS INTL.;0,32;0,32%;ES0176252718;Consumer Cyclical;;;;;
112001-ES0143416115;112001;11;2001;1/11/01;SIEMENS GAMESA RENEWABLE ENERGY;0,30;0,30%;ES0143416115;Energy;ES0143416016;;;;
112001-ES0173093024;112001;11;2001;1/11/01;RED ELECTRICA;0,28;0,28%;ES0173093024;Utilities;ES0173093115;;;;
112001-ES0178344117;112001;11;2001;1/11/01;TELEPIZZA;0,14;0,14%;ES0178344117;Consumer Cyclical;ES0178344315;;;;
122001-ES0178430E18;122001;12;2001;1/12/01;TELEFONICA;24,12;24,12%;ES0178430E18;Telecommunications Services;;;;;
122001-ES0113211835;122001;12;2001;1/12/01;BBV.ARGENTARIA;15,26;15,26%;ES0113211835;Financials;ES0113211033;;;;
122001-ES0113900J37;122001;12;2001;1/12/01;BANCO SANTANDER;15,06;15,06%;ES0113900J37;Financials;ES0113900G30;;;;
122001-ES0173516115;122001;12;2001;1/12/01;REPSOL YPF;6,87;6,87%;ES0173516115;Energy;ES0173516016;;;;
122001-ES0130670112;122001;12;2001;1/12/01;ENDESA;6,39;6,39%;ES0130670112;Utilities;ES0130670013;;;;
122001-ES0144580Y14;122001;12;2001;1/12/01;IBERDROLA;4,53;4,53%;ES0144580Y14;Utilities;ES0144580018;;;;
122001-ES0113790226;122001;12;2001;1/12/01;BANCO POPULAR ESPANOL;2,75;2,75%;ES0113790226;Financials;ES0113790531;ES0113790234;;;
122001-ES0148396007;122001;12;2001;1/12/01;INDITEX;2,75;2,75%;ES0148396007;Consumer Cyclical;ES0148396015;;;;
122001-ES0177040013;122001;12;2001;1/12/01;ALTADIS;2,00;2,00%;ES0177040013;Consumer Non-Cyclical;;;;;
122001-ES0178174019;122001;12;2001;1/12/01;TERRA;1,96;1,96%;ES0178174019;Telecommunications Services;;;;;
122001-ES0181380710;122001;12;2001;1/12/01;UNION FENOSA;1,90;1,90%;ES0181380710;Utilities;ES0181380017;;;;
122001-ES0178401016;122001;12;2001;1/12/01;TELF.MOVILES;1,20;1,20%;ES0178401016;Telecommunications Services;;;;;
122001-ES0116870314;122001;12;2001;1/12/01;NATURGY ENERGY;1,15;1,15%;ES0116870314;Utilities;ES0116870215;ES0116870413;;;
122001-ES0111845014;122001;12;2001;1/12/01;ABERTIS;1,12;1,12%;ES0111845014;Industrial;;;;;
122001-ES0109067019;122001;12;2001;1/12/01;AMADEUS;0,98;0,98%;ES0109067019;Technology;ES0184633032;;;;
122001-ES0162601019;122001;12;2001;1/12/01;FERROVIAL;0,95;0,95%;ES0162601019;Industrial;ES0162601019;;;;error
122001-ES0125220311;122001;12;2001;1/12/01;ACCIONA;0,89;0,89%;ES0125220311;Industrial;;;;;
122001-ES0127070110;122001;12;2001;1/12/01;DRAGADOS;0,89;0,89%;ES0127070110;Industrial;;;;;
122001-ES0178483139;122001;12;2001;1/12/01;SOGECABLE;0,87;0,87%;ES0178483139;Telecommunications Services;;;;;
122001-ES0113679I37;122001;12;2001;1/12/01;BANKINTER 'R';0,85;0,85%;ES0113679I37;Financials;ES0113679338;;;;
122001-ES0132105018;122001;12;2001;1/12/01;ACERINOX 'R';0,77;0,77%;ES0132105018;Industrial;ES0132105331;;;;
122001-ES0138991015;122001;12;2001;1/12/01;ACERALIA;0,76;0,76%;ES0138991015;Industrial;;;;;
122001-ES0117160111;122001;12;2001;1/12/01;COR.ALBA;0,63;0,63%;ES0117160111;Financials;ES0117160012;;;;
122001-ES0167050915;122001;12;2001;1/12/01;ACS ACTIV.CONSTR.Y SERV.;0,60;0,60%;ES0167050915;Industrial;ES0167050311;;;;
122001-ES0169501022;122001;12;2001;1/12/01;PHARMA MAR;0,60;0,60%;ES0169501022;Healthcare;ES0169501030;ES0184940817;ES0184940312;;
122001-ES0118095019;122001;12;2001;1/12/01;CARREFOUR;0,59;0,59%;ES0118095019;Consumer Non-Cyclical;;;;;
122001-ES0122060314;122001;12;2001;1/12/01;FCC;0,58;0,58%;ES0122060314;Industrial;;;;;
122001-ES0178419117;122001;12;2001;1/12/01;TPI;0,56;0,56%;ES0178419117;Energy;ES0178419018;;;;
122001-ES0118594417;122001;12;2001;1/12/01;INDRA SISTEMAS;0,48;0,48%;ES0118594417;Technology;ES0118594011;;;;
122001-ES0171743901;122001;12;2001;1/12/01;PRISA A;0,47;0,47%;ES0171743901;Consumer Cyclical;ES0171743117;;;;
122001-ES0161560018;122001;12;2001;1/12/01;NH HOTELES;0,46;0,46%;ES0161560018;Consumer Cyclical;;;;;
122001-ES0176252718;122001;12;2001;1/12/01;MELIA HOTELS INTL.;0,33;0,33%;ES0176252718;Consumer Cyclical;;;;;
122001-ES0173093024;122001;12;2001;1/12/01;RED ELECTRICA;0,29;0,29%;ES0173093024;Utilities;ES0173093115;;;;
122001-ES0143416115;122001;12;2001;1/12/01;SIEMENS GAMESA RENEWABLE ENERGY;0,26;0,26%;ES0143416115;Energy;ES0143416016;;;;
122001-ES0178344117;122001;12;2001;1/12/01;TELEPIZZA;0,13;0,13%;ES0178344117;Consumer Cyclical;ES0178344315;;;;
12002-ES0178430E18;12002;1;2002;1/1/02;TELEFONICA;23,38;23,38%;ES0178430E18;Telecommunications Services;;;;;
12002-ES0113211835;12002;1;2002;1/1/02;BBV.ARGENTARIA;15,16;15,16%;ES0113211835;Financials;ES0113211033;;;;
12002-ES0113900J37;12002;1;2002;1/1/02;BANCO SANTANDER;15,10;15,10%;ES0113900J37;Financials;ES0113900G30;;;;
12002-ES0130670112;12002;1;2002;1/1/02;ENDESA;6,41;6,41%;ES0130670112;Utilities;ES0130670013;;;;
12002-ES0173516115;12002;1;2002;1/1/02;REPSOL YPF;6,10;6,10%;ES0173516115;Energy;ES0173516016;;;;
12002-ES0144580Y14;12002;1;2002;1/1/02;IBERDROLA;4,47;4,47%;ES0144580Y14;Utilities;ES0144580018;;;;
12002-ES0113790226;12002;1;2002;1/1/02;BANCO POPULAR ESPANOL;3,07;3,07%;ES0113790226;Financials;ES0113790531;ES0113790234;;;
12002-ES0148396007;12002;1;2002;1/1/02;INDITEX;2,97;2,97%;ES0148396007;Consumer Cyclical;ES0148396015;;;;
12002-ES0178174019;12002;1;2002;1/1/02;TERRA;2,08;2,08%;ES0178174019;Telecommunications Services;;;;;
12002-ES0177040013;12002;1;2002;1/1/02;ALTADIS;2,05;2,05%;ES0177040013;Consumer Non-Cyclical;;;;;
12002-ES0181380710;12002;1;2002;1/1/02;UNION FENOSA;1,98;1,98%;ES0181380710;Utilities;ES0181380017;;;;
12002-ES0116870314;12002;1;2002;1/1/02;NATURGY ENERGY;1,34;1,34%;ES0116870314;Utilities;ES0116870215;ES0116870413;;;
12002-ES0178401016;12002;1;2002;1/1/02;TELF.MOVILES;1,18;1,18%;ES0178401016;Telecommunications Services;;;;;
12002-ES0109067019;12002;1;2002;1/1/02;AMADEUS;1,17;1,17%;ES0109067019;Technology;ES0184633032;;;;
12002-ES0111845014;12002;1;2002;1/1/02;ABERTIS;1,10;1,10%;ES0111845014;Industrial;;;;;
12002-ES0127070110;12002;1;2002;1/1/02;DRAGADOS;0,97;0,97%;ES0127070110;Industrial;;;;;
12002-ES0125220311;12002;1;2002;1/1/02;ACCIONA;0,93;0,93%;ES0125220311;Industrial;;;;;
12002-ES0132105018;12002;1;2002;1/1/02;ACERINOX 'R';0,92;0,92%;ES0132105018;Industrial;ES0132105331;;;;
12002-ES0113679I37;12002;1;2002;1/1/02;BANKINTER 'R';0,85;0,85%;ES0113679I37;Financials;ES0113679338;;;;
12002-ES0162601019;12002;1;2002;1/1/02;FERROVIAL;0,81;0,81%;ES0162601019;Industrial;ES0162601019;;;;error
12002-ES0138991015;12002;1;2002;1/1/02;ACERALIA;0,80;0,80%;ES0138991015;Industrial;;;;;
12002-ES0178483139;12002;1;2002;1/1/02;SOGECABLE;0,70;0,70%;ES0178483139;Telecommunications Services;;;;;
12002-ES0167050915;12002;1;2002;1/1/02;ACS ACTIV.CONSTR.Y SERV.;0,68;0,68%;ES0167050915;Industrial;ES0167050311;;;;
12002-ES0117160111;12002;1;2002;1/1/02;COR.ALBA;0,67;0,67%;ES0117160111;Financials;ES0117160012;;;;
12002-ES0169501022;12002;1;2002;1/1/02;PHARMA MAR;0,65;0,65%;ES0169501022;Healthcare;ES0169501030;ES0184940817;ES0184940312;;
12002-ES0118095019;12002;1;2002;1/1/02;CARREFOUR;0,64;0,64%;ES0118095019;Consumer Non-Cyclical;;;;;
12002-ES0122060314;12002;1;2002;1/1/02;FCC;0,63;0,63%;ES0122060314;Industrial;;;;;
12002-ES0178419117;12002;1;2002;1/1/02;TPI;0,57;0,57%;ES0178419117;Energy;ES0178419018;;;;
12002-ES0118594417;12002;1;2002;1/1/02;INDRA SISTEMAS;0,52;0,52%;ES0118594417;Technology;ES0118594011;;;;
12002-ES0171743901;12002;1;2002;1/1/02;PRISA A;0,50;0,50%;ES0171743901;Consumer Cyclical;ES0171743117;;;;
12002-ES0161560018;12002;1;2002;1/1/02;NH HOTELES;0,49;0,49%;ES0161560018;Consumer Cyclical;;;;;
12002-ES0143416115;12002;1;2002;1/1/02;SIEMENS GAMESA RENEWABLE ENERGY;0,35;0,35%;ES0143416115;Energy;ES0143416016;;;;
12002-ES0176252718;12002;1;2002;1/1/02;MELIA HOTELS INTL.;0,34;0,34%;ES0176252718;Consumer Cyclical;;;;;
12002-ES0173093024;12002;1;2002;1/1/02;RED ELECTRICA;0,30;0,30%;ES0173093024;Utilities;ES0173093115;;;;
12002-ES0178344117;12002;1;2002;1/1/02;TELEPIZZA;0,12;0,12%;ES0178344117;Consumer Cyclical;ES0178344315;;;;
22002-ES0178430E18;22002;2;2002;1/2/02;TELEFONICA;22,75;22,75%;ES0178430E18;Telecommunications Services;;;;;
22002-ES0113900J37;22002;2;2002;1/2/02;BANCO SANTANDER;15,21;15,21%;ES0113900J37;Financials;ES0113900G30;;;;
22002-ES0113211835;22002;2;2002;1/2/02;BBV.ARGENTARIA;15,10;15,10%;ES0113211835;Financials;ES0113211033;;;;
22002-ES0130670112;22002;2;2002;1/2/02;ENDESA;6,50;6,50%;ES0130670112;Utilities;ES0130670013;;;;
22002-ES0173516115;22002;2;2002;1/2/02;REPSOL YPF;6,18;6,18%;ES0173516115;Energy;ES0173516016;;;;
22002-ES0144580Y14;22002;2;2002;1/2/02;IBERDROLA;4,65;4,65%;ES0144580Y14;Utilities;ES0144580018;;;;
22002-ES0113790226;22002;2;2002;1/2/02;BANCO POPULAR ESPANOL;3,14;3,14%;ES0113790226;Financials;ES0113790531;ES0113790234;;;
22002-ES0148396007;22002;2;2002;1/2/02;INDITEX;3,00;3,00%;ES0148396007;Consumer Cyclical;ES0148396015;;;;
22002-ES0177040013;22002;2;2002;1/2/02;ALTADIS;2,07;2,07%;ES0177040013;Consumer Non-Cyclical;;;;;
22002-ES0181380710;22002;2;2002;1/2/02;UNION FENOSA;1,92;1,92%;ES0181380710;Utilities;ES0181380017;;;;
22002-ES0178174019;22002;2;2002;1/2/02;TERRA;1,89;1,89%;ES0178174019;Telecommunications Services;;;;;
22002-ES0116870314;22002;2;2002;1/2/02;NATURGY ENERGY;1,28;1,28%;ES0116870314;Utilities;ES0116870215;ES0116870413;;;
22002-ES0109067019;22002;2;2002;1/2/02;AMADEUS;1,20;1,20%;ES0109067019;Technology;ES0184633032;;;;
22002-LU0140205948;22002;2;2002;1/2/02;ARCELOR;1,18;1,18%;LU0140205948;Industrial;;;;;
22002-ES0178401016;22002;2;2002;1/2/02;TELF.MOVILES;1,16;1,16%;ES0178401016;Telecommunications Services;;;;;
22002-ES0111845014;22002;2;2002;1/2/02;ABERTIS;1,11;1,11%;ES0111845014;Industrial;;;;;
22002-ES0125220311;22002;2;2002;1/2/02;ACCIONA;0,93;0,93%;ES0125220311;Industrial;;;;;
22002-ES0132105018;22002;2;2002;1/2/02;ACERINOX 'R';0,92;0,92%;ES0132105018;Industrial;ES0132105331;;;;
22002-ES0162601019;22002;2;2002;1/2/02;FERROVIAL;0,91;0,91%;ES0162601019;Industrial;ES0162601019;;;;error
22002-ES0127070110;22002;2;2002;1/2/02;DRAGADOS;0,88;0,88%;ES0127070110;Industrial;;;;;
22002-ES0113679I37;22002;2;2002;1/2/02;BANKINTER 'R';0,85;0,85%;ES0113679I37;Financials;ES0113679338;;;;
22002-ES0167050915;22002;2;2002;1/2/02;ACS ACTIV.CONSTR.Y SERV.;0,70;0,70%;ES0167050915;Industrial;ES0167050311;;;;
22002-ES0118095019;22002;2;2002;1/2/02;CARREFOUR;0,69;0,69%;ES0118095019;Consumer Non-Cyclical;;;;;
22002-ES0169501022;22002;2;2002;1/2/02;PHARMA MAR;0,68;0,68%;ES0169501022;Healthcare;ES0169501030;ES0184940817;ES0184940312;;
22002-ES0178483139;22002;2;2002;1/2/02;SOGECABLE;0,68;0,68%;ES0178483139;Telecommunications Services;;;;;
22002-ES0122060314;22002;2;2002;1/2/02;FCC;0,64;0,64%;ES0122060314;Industrial;;;;;
22002-ES0117160111;22002;2;2002;1/2/02;COR.ALBA;0,63;0,63%;ES0117160111;Financials;ES0117160012;;;;
22002-ES0178419117;22002;2;2002;1/2/02;TPI;0,58;0,58%;ES0178419117;Energy;ES0178419018;;;;
22002-ES0171743901;22002;2;2002;1/2/02;PRISA A;0,50;0,50%;ES0171743901;Consumer Cyclical;ES0171743117;;;;
22002-ES0118594417;22002;2;2002;1/2/02;INDRA SISTEMAS;0,50;0,50%;ES0118594417;Technology;ES0118594011;;;;
22002-ES0161560018;22002;2;2002;1/2/02;NH HOTELES;0,48;0,48%;ES0161560018;Consumer Cyclical;;;;;
22002-ES0143416115;22002;2;2002;1/2/02;SIEMENS GAMESA RENEWABLE ENERGY;0,38;0,38%;ES0143416115;Energy;ES0143416016;;;;
22002-ES0173093024;22002;2;2002;1/2/02;RED ELECTRICA;0,32;0,32%;ES0173093024;Utilities;ES0173093115;;;;
22002-ES0176252718;22002;2;2002;1/2/02;MELIA HOTELS INTL.;0,31;0,31%;ES0176252718;Consumer Cyclical;;;;;
22002-ES0178344117;22002;2;2002;1/2/02;TELEPIZZA;0,11;0,11%;ES0178344117;Consumer Cyclical;ES0178344315;;;;
32002-ES0178430E18;32002;3;2002;1/3/02;TELEFONICA;21,81;21,81%;ES0178430E18;Telecommunications Services;;;;;
32002-ES0113900J37;32002;3;2002;1/3/02;BANCO SANTANDER;15,62;15,62%;ES0113900J37;Financials;ES0113900G30;;;;
32002-ES0113211835;32002;3;2002;1/3/02;BBV.ARGENTARIA;15,23;15,23%;ES0113211835;Financials;ES0113211033;;;;
32002-ES0130670112;32002;3;2002;1/3/02;ENDESA;6,30;6,30%;ES0130670112;Utilities;ES0130670013;;;;
32002-ES0173516115;32002;3;2002;1/3/02;REPSOL YPF;6,16;6,16%;ES0173516115;Energy;ES0173516016;;;;
32002-ES0144580Y14;32002;3;2002;1/3/02;IBERDROLA;4,71;4,71%;ES0144580Y14;Utilities;ES0144580018;;;;
32002-ES0113790226;32002;3;2002;1/3/02;BANCO POPULAR ESPANOL;3,28;3,28%;ES0113790226;Financials;ES0113790531;ES0113790234;;;
32002-ES0148396007;32002;3;2002;1/3/02;INDITEX;2,81;2,81%;ES0148396007;Consumer Cyclical;ES0148396015;;;;
32002-ES0177040013;32002;3;2002;1/3/02;ALTADIS;2,24;2,24%;ES0177040013;Consumer Non-Cyclical;;;;;
32002-ES0181380710;32002;3;2002;1/3/02;UNION FENOSA;1,97;1,97%;ES0181380710;Utilities;ES0181380017;;;;
32002-ES0178174019;32002;3;2002;1/3/02;TERRA;1,95;1,95%;ES0178174019;Telecommunications Services;;;;;
32002-ES0109067019;32002;3;2002;1/3/02;AMADEUS;1,26;1,26%;ES0109067019;Technology;ES0184633032;;;;
32002-ES0116870314;32002;3;2002;1/3/02;NATURGY ENERGY;1,23;1,23%;ES0116870314;Utilities;ES0116870215;ES0116870413;;;
32002-LU0140205948;32002;3;2002;1/3/02;ARCELOR;1,13;1,13%;LU0140205948;Industrial;;;;;
32002-ES0178401016;32002;3;2002;1/3/02;TELF.MOVILES;1,10;1,10%;ES0178401016;Telecommunications Services;;;;;
32002-ES0111845014;32002;3;2002;1/3/02;ABERTIS;1,08;1,08%;ES0111845014;Industrial;;;;;
32002-ES0162601019;32002;3;2002;1/3/02;FERROVIAL;0,94;0,94%;ES0162601019;Industrial;ES0162601019;;;;error
32002-ES0132105018;32002;3;2002;1/3/02;ACERINOX 'R';0,93;0,93%;ES0132105018;Industrial;ES0132105331;;;;
32002-ES0125220311;32002;3;2002;1/3/02;ACCIONA;0,93;0,93%;ES0125220311;Industrial;;;;;
32002-ES0113679I37;32002;3;2002;1/3/02;BANKINTER 'R';0,92;0,92%;ES0113679I37;Financials;ES0113679338;;;;
32002-ES0127070110;32002;3;2002;1/3/02;DRAGADOS;0,88;0,88%;ES0127070110;Industrial;;;;;
32002-ES0169501022;32002;3;2002;1/3/02;PHARMA MAR;0,77;0,77%;ES0169501022;Healthcare;ES0169501030;ES0184940817;ES0184940312;;
32002-ES0167050915;32002;3;2002;1/3/02;ACS ACTIV.CONSTR.Y SERV.;0,71;0,71%;ES0167050915;Industrial;ES0167050311;;;;
32002-ES0122060314;32002;3;2002;1/3/02;FCC;0,70;0,70%;ES0122060314;Industrial;;;;;
32002-ES0178483139;32002;3;2002;1/3/02;SOGECABLE;0,63;0,63%;ES0178483139;Telecommunications Services;;;;;
32002-ES0178419117;32002;3;2002;1/3/02;TPI;0,63;0,63%;ES0178419117;Energy;ES0178419018;;;;
32002-ES0117160111;32002;3;2002;1/3/02;COR.ALBA;0,63;0,63%;ES0117160111;Financials;ES0117160012;;;;
32002-ES0118095019;32002;3;2002;1/3/02;CARREFOUR;0,63;0,63%;ES0118095019;Consumer Non-Cyclical;;;;;
32002-ES0161560018;32002;3;2002;1/3/02;NH HOTELES;0,55;0,55%;ES0161560018;Consumer Cyclical;;;;;
32002-ES0118594417;32002;3;2002;1/3/02;INDRA SISTEMAS;0,53;0,53%;ES0118594417;Technology;ES0118594011;;;;
32002-ES0171743901;32002;3;2002;1/3/02;PRISA A;0,53;0,53%;ES0171743901;Consumer Cyclical;ES0171743117;;;;
32002-ES0143416115;32002;3;2002;1/3/02;SIEMENS GAMESA RENEWABLE ENERGY;0,41;0,41%;ES0143416115;Energy;ES0143416016;;;;
32002-ES0176252718;32002;3;2002;1/3/02;MELIA HOTELS INTL.;0,34;0,34%;ES0176252718;Consumer Cyclical;;;;;
32002-ES0173093024;32002;3;2002;1/3/02;RED ELECTRICA;0,32;0,32%;ES0173093024;Utilities;ES0173093115;;;;
32002-ES0178344117;32002;3;2002;1/3/02;TELEPIZZA;0,13;0,13%;ES0178344117;Consumer Cyclical;ES0178344315;;;;
42002-ES0178430E18;42002;4;2002;1/4/02;TELEFONICA;20,40;20,40%;ES0178430E18;Telecommunications Services;;;;;
42002-ES0113900J37;42002;4;2002;1/4/02;BANCO SANTANDER;16,92;16,92%;ES0113900J37;Financials;ES0113900G30;;;;
42002-ES0113211835;42002;4;2002;1/4/02;BBV.ARGENTARIA;14,61;14,61%;ES0113211835;Financials;ES0113211033;;;;
42002-ES0130670112;42002;4;2002;1/4/02;ENDESA;6,36;6,36%;ES0130670112;Utilities;ES0130670013;;;;
42002-ES0173516115;42002;4;2002;1/4/02;REPSOL YPF;5,88;5,88%;ES0173516115;Energy;ES0173516016;;;;
42002-ES0144580Y14;42002;4;2002;1/4/02;IBERDROLA;4,85;4,85%;ES0144580Y14;Utilities;ES0144580018;;;;
42002-ES0113790226;42002;4;2002;1/4/02;BANCO POPULAR ESPANOL;3,49;3,49%;ES0113790226;Financials;ES0113790531;ES0113790234;;;
42002-ES0148396007;42002;4;2002;1/4/02;INDITEX;3,02;3,02%;ES0148396007;Consumer Cyclical;ES0148396015;;;;
42002-ES0177040013;42002;4;2002;1/4/02;ALTADIS;2,53;2,53%;ES0177040013;Consumer Non-Cyclical;;;;;
42002-ES0181380710;42002;4;2002;1/4/02;UNION FENOSA;2,11;2,11%;ES0181380710;Utilities;ES0181380017;;;;
42002-ES0178174019;42002;4;2002;1/4/02;TERRA;1,61;1,61%;ES0178174019;Telecommunications Services;;;;;
42002-ES0116870314;42002;4;2002;1/4/02;NATURGY ENERGY;1,42;1,42%;ES0116870314;Utilities;ES0116870215;ES0116870413;;;
42002-ES0109067019;42002;4;2002;1/4/02;AMADEUS;1,16;1,16%;ES0109067019;Technology;ES0184633032;;;;
42002-LU0140205948;42002;4;2002;1/4/02;ARCELOR;1,13;1,13%;LU0140205948;Industrial;;;;;
42002-ES0127070110;42002;4;2002;1/4/02;DRAGADOS;1,10;1,10%;ES0127070110;Industrial;;;;;
42002-ES0111845014;42002;4;2002;1/4/02;ABERTIS;1,10;1,10%;ES0111845014;Industrial;;;;;
42002-ES0178401016;42002;4;2002;1/4/02;TELF.MOVILES;1,05;1,05%;ES0178401016;Telecommunications Services;;;;;
42002-ES0162601019;42002;4;2002;1/4/02;FERROVIAL;1,00;1,00%;ES0162601019;Industrial;ES0162601019;;;;error
42002-ES0132105018;42002;4;2002;1/4/02;ACERINOX 'R';0,99;0,99%;ES0132105018;Industrial;ES0132105331;;;;
42002-ES0113679I37;42002;4;2002;1/4/02;BANKINTER 'R';0,94;0,94%;ES0113679I37;Financials;ES0113679338;;;;
42002-ES0125220311;42002;4;2002;1/4/02;ACCIONA;0,93;0,93%;ES0125220311;Industrial;;;;;
42002-ES0167050915;42002;4;2002;1/4/02;ACS ACTIV.CONSTR.Y SERV.;0,77;0,77%;ES0167050915;Industrial;ES0167050311;;;;
42002-ES0122060314;42002;4;2002;1/4/02;FCC;0,73;0,73%;ES0122060314;Industrial;;;;;
42002-ES0169501022;42002;4;2002;1/4/02;PHARMA MAR;0,71;0,71%;ES0169501022;Healthcare;ES0169501030;ES0184940817;ES0184940312;;
42002-ES0118095019;42002;4;2002;1/4/02;CARREFOUR;0,62;0,62%;ES0118095019;Consumer Non-Cyclical;;;;;
42002-ES0161560018;42002;4;2002;1/4/02;NH HOTELES;0,61;0,61%;ES0161560018;Consumer Cyclical;;;;;
42002-ES0178419117;42002;4;2002;1/4/02;TPI;0,60;0,60%;ES0178419117;Energy;ES0178419018;;;;
42002-ES0178483139;42002;4;2002;1/4/02;SOGECABLE;0,59;0,59%;ES0178483139;Telecommunications Services;;;;;
42002-ES0117160111;42002;4;2002;1/4/02;COR.ALBA;0,59;0,59%;ES0117160111;Financials;ES0117160012;;;;
42002-ES0118594417;42002;4;2002;1/4/02;INDRA SISTEMAS;0,51;0,51%;ES0118594417;Technology;ES0118594011;;;;
42002-ES0171743901;42002;4;2002;1/4/02;PRISA A;0,50;0,50%;ES0171743901;Consumer Cyclical;ES0171743117;;;;
42002-ES0143416115;42002;4;2002;1/4/02;SIEMENS GAMESA RENEWABLE ENERGY;0,41;0,41%;ES0143416115;Energy;ES0143416016;;;;
42002-ES0173093024;42002;4;2002;1/4/02;RED ELECTRICA;0,34;0,34%;ES0173093024;Utilities;ES0173093115;;;;
42002-ES0176252718;42002;4;2002;1/4/02;MELIA HOTELS INTL.;0,32;0,32%;ES0176252718;Consumer Cyclical;;;;;
42002-ES0178344117;42002;4;2002;1/4/02;TELEPIZZA;0,11;0,11%;ES0178344117;Consumer Cyclical;ES0178344315;;;;
52002-ES0178430E18;52002;5;2002;1/5/02;TELEFONICA;19,87;19,87%;ES0178430E18;Telecommunications Services;;;;;
52002-ES0113900J37;52002;5;2002;1/5/02;BANCO SANTANDER;17,02;17,02%;ES0113900J37;Financials;ES0113900G30;;;;
52002-ES0113211835;52002;5;2002;1/5/02;BBV.ARGENTARIA;14,89;14,89%;ES0113211835;Financials;ES0113211033;;;;
52002-ES0130670112;52002;5;2002;1/5/02;ENDESA;6,34;6,34%;ES0130670112;Utilities;ES0130670013;;;;
52002-ES0173516115;52002;5;2002;1/5/02;REPSOL YPF;5,54;5,54%;ES0173516115;Energy;ES0173516016;;;;
52002-ES0144580Y14;52002;5;2002;1/5/02;IBERDROLA;4,85;4,85%;ES0144580Y14;Utilities;ES0144580018;;;;
52002-ES0113790226;52002;5;2002;1/5/02;BANCO POPULAR ESPANOL;3,68;3,68%;ES0113790226;Financials;ES0113790531;ES0113790234;;;
52002-ES0148396007;52002;5;2002;1/5/02;INDITEX;3,00;3,00%;ES0148396007;Consumer Cyclical;ES0148396015;;;;
52002-ES0177040013;52002;5;2002;1/5/02;ALTADIS;2,54;2,54%;ES0177040013;Consumer Non-Cyclical;;;;;
52002-ES0181380710;52002;5;2002;1/5/02;UNION FENOSA;2,11;2,11%;ES0181380710;Utilities;ES0181380017;;;;
52002-ES0178174019;52002;5;2002;1/5/02;TERRA;1,43;1,43%;ES0178174019;Telecommunications Services;;;;;
52002-ES0116870314;52002;5;2002;1/5/02;NATURGY ENERGY;1,29;1,29%;ES0116870314;Utilities;ES0116870215;ES0116870413;;;
52002-ES0111845014;52002;5;2002;1/5/02;ABERTIS;1,19;1,19%;ES0111845014;Industrial;;;;;
52002-ES0127070110;52002;5;2002;1/5/02;DRAGADOS;1,18;1,18%;ES0127070110;Industrial;;;;;
