MesañoISIN;mes-año;mes;año;Fecha;Name ;Peso;Peso en %;ISIN 1;Sector;ISIN 2;ISIN 3;ISIN 4;;
12000-ES0178483139;12000;1;2000;1/1/00;SOGECABLE;1,65;1,65%;ES0178483139;Telecommunications Services;;;;;
12000-ES0113679I37;12000;1;2000;1/1/00;BANKINTER 'R';1,47;1,47%;ES0113679I37;Financials;ES0113679338;;;;
12000-ES0177040013;12000;1;2000;1/1/00;ALTADIS;1,13;1,13%;ES0177040013;Consumer Non-Cyclical;;;;;
12000-ES0125220311;12000;1;2000;1/1/00;ACCIONA;0,94;0,94%;ES0125220311;Industrial;;;;;
12000-ES0118095019;12000;1;2000;1/1/00;CARREFOUR;0,82;0,82%;ES0118095019;Consumer Non-Cyclical;;;;;
12000-ES0111845014;12000;1;2000;1/1/00;ABERTIS;0,77;0,77%;ES0111845014;Industrial;;;;;
12000-ES0117160111;12000;1;2000;1/1/00;COR.ALBA;0,76;0,76%;ES0117160111;Financials;ES0117160012;;;;
12000-ES0132105018;12000;1;2000;1/1/00;ACERINOX 'R';0,71;0,71%;ES0132105018;Industrial;ES0132105331;;;;
12000-ES0176252718;12000;1;2000;1/1/00;MELIA HOTELS INTL.;0,63;0,63%;ES0176252718;Consumer Cyclical;;;;;
12000-ES0122060314;12000;1;2000;1/1/00;FCC;0,60;0,60%;ES0122060314;Industrial;;;;;
12000-ES0162601019;12000;1;2000;1/1/00;FERROVIAL;0,54;0,54%;ES0162601019;Industrial;ES0162601019;;;;error
12000-ES0118096017;12000;1;2000;1/1/00;CONTINENTE;0,53;0,53%;ES0118096017;Consumer Non-Cyclical;;;;;
12000-ES0141330C19;12000;1;2000;1/1/00;AG.BARCELONA;0,49;0,49%;ES0141330C19;Industrial;;;;;
12000-ES0118594417;12000;1;2000;1/1/00;INDRA SISTEMAS;0,48;0,48%;ES0118594417;Technology;ES0118594011;;;;
12000-ES0138991015;12000;1;2000;1/1/00;ACERALIA;0,46;0,46%;ES0138991015;Industrial;;;;;
12000-ES0127070110;12000;1;2000;1/1/00;DRAGADOS;0,44;0,44%;ES0127070110;Industrial;;;;;
12000-ES0144460112;12000;1;2000;1/1/00;H.CANTABRICO;0,42;0,42%;ES0144460112;Industrial;;;;;
12000-ES0111847036;12000;1;2000;1/1/00;AUREA;0,35;0,35%;ES0111847036;Industrial;;;;;
12000-ES0167050915;12000;1;2000;1/1/00;ACS ACTIV.CONSTR.Y SERV.;0,32;0,32%;ES0167050915;Industrial;ES0167050311;;;;
12000-ES0124244E34;12000;1;2000;1/1/00;MAPFRE;0,29;0,29%;ES0124244E34;Financials;ES0124244C36;ES0124244A38;;;
12000-ES0178344117;12000;1;2000;1/1/00;TELEPIZZA;0,29;0,29%;ES0178344117;Consumer Cyclical;ES0178344315;;;;
12000-ES0161560018;12000;1;2000;1/1/00;NH HOTELES;0,26;0,26%;ES0161560018;Consumer Cyclical;;;;;
12000-ES0182870214;12000;1;2000;1/1/00;SACYR;0,24;0,24%;ES0182870214;Industrial;ES0182870016;;;;
22000-ES0178430E18;22000;2;2000;1/2/00;TELEFONICA;26,39;26,39%;ES0178430E18;Telecommunications Services;;;;;
22000-ES0113211835;22000;2;2000;1/2/00;BBV.ARGENTARIA;11,99;11,99%;ES0113211835;Financials;ES0113211033;;;;
22000-ES0113900J37;22000;2;2000;1/2/00;BANCO SANTANDER;10,83;10,83%;ES0113900J37;Financials;ES0113900G30;;;;
22000-ES0178174019;22000;2;2000;1/2/00;TERRA;10,24;10,24%;ES0178174019;Telecommunications Services;;;;;
22000-ES0173516115;22000;2;2000;1/2/00;REPSOL YPF;6,33;6,33%;ES0173516115;Energy;ES0173516016;;;;
22000-ES0130670112;22000;2;2000;1/2/00;ENDESA;6,30;6,30%;ES0130670112;Utilities;ES0130670013;;;;
22000-ES0144580Y14;22000;2;2000;1/2/00;IBERDROLA;3,18;3,18%;ES0144580Y14;Utilities;ES0144580018;;;;
22000-ES0116870314;22000;2;2000;1/2/00;NATURGY ENERGY;2,53;2,53%;ES0116870314;Utilities;ES0116870215;ES0116870413;;;
22000-ES0109067019;22000;2;2000;1/2/00;AMADEUS;2,39;2,39%;ES0109067019;Technology;ES0184633032;;;;
22000-ES0178419117;22000;2;2000;1/2/00;TPI;2,36;2,36%;ES0178419117;Energy;ES0178419018;;;;
22000-ES0181380710;22000;2;2000;1/2/00;UNION FENOSA;1,78;1,78%;ES0181380710;Utilities;ES0181380017;;;;
22000-ES0178483139;22000;2;2000;1/2/00;SOGECABLE;1,76;1,76%;ES0178483139;Telecommunications Services;;;;;
22000-ES0113790226;22000;2;2000;1/2/00;BANCO POPULAR ESPANOL;1,70;1,70%;ES0113790226;Financials;ES0113790531;ES0113790234;;;
22000-ES0113679I37;22000;2;2000;1/2/00;BANKINTER 'R';1,32;1,32%;ES0113679I37;Financials;ES0113679338;;;;
22000-ES0177040013;22000;2;2000;1/2/00;ALTADIS;1,01;1,01%;ES0177040013;Consumer Non-Cyclical;;;;;
22000-ES0125220311;22000;2;2000;1/2/00;ACCIONA;0,79;0,79%;ES0125220311;Industrial;;;;;
22000-ES0118095019;22000;2;2000;1/2/00;CARREFOUR;0,70;0,70%;ES0118095019;Consumer Non-Cyclical;;;;;
22000-ES0117160111;22000;2;2000;1/2/00;COR.ALBA;0,70;0,70%;ES0117160111;Financials;ES0117160012;;;;
22000-ES0162601019;22000;2;2000;1/2/00;FERROVIAL;0,67;0,67%;ES0162601019;Industrial;ES0162601019;;;;error
22000-ES0111845014;22000;2;2000;1/2/00;ABERTIS;0,61;0,61%;ES0111845014;Industrial;;;;;
22000-ES0118594417;22000;2;2000;1/2/00;INDRA SISTEMAS;0,60;0,60%;ES0118594417;Technology;ES0118594011;;;;
22000-ES0132105018;22000;2;2000;1/2/00;ACERINOX 'R';0,59;0,59%;ES0132105018;Industrial;ES0132105331;;;;
22000-ES0122060314;22000;2;2000;1/2/00;FCC;0,59;0,59%;ES0122060314;Industrial;;;;;
22000-ES0141330C19;22000;2;2000;1/2/00;AG.BARCELONA;0,57;0,57%;ES0141330C19;Industrial;;;;;
22000-ES0176252718;22000;2;2000;1/2/00;MELIA HOTELS INTL.;0,56;0,56%;ES0176252718;Consumer Cyclical;;;;;
22000-ES0144460112;22000;2;2000;1/2/00;H.CANTABRICO;0,50;0,50%;ES0144460112;Industrial;;;;;
22000-ES0118096017;22000;2;2000;1/2/00;CONTINENTE;0,46;0,46%;ES0118096017;Consumer Non-Cyclical;;;;;
22000-ES0127070110;22000;2;2000;1/2/00;DRAGADOS;0,43;0,43%;ES0127070110;Industrial;;;;;
22000-ES0138991015;22000;2;2000;1/2/00;ACERALIA;0,41;0,41%;ES0138991015;Industrial;;;;;
22000-ES0178344117;22000;2;2000;1/2/00;TELEPIZZA;0,34;0,34%;ES0178344117;Consumer Cyclical;ES0178344315;;;;
22000-ES0167050915;22000;2;2000;1/2/00;ACS ACTIV.CONSTR.Y SERV.;0,33;0,33%;ES0167050915;Industrial;ES0167050311;;;;
22000-ES0111847036;22000;2;2000;1/2/00;AUREA;0,30;0,30%;ES0111847036;Industrial;;;;;
22000-ES0161560018;22000;2;2000;1/2/00;NH HOTELES;0,26;0,26%;ES0161560018;Consumer Cyclical;;;;;
22000-ES0124244E34;22000;2;2000;1/2/00;MAPFRE;0,23;0,23%;ES0124244E34;Financials;ES0124244C36;ES0124244A38;;;
22000-ES0182870214;22000;2;2000;1/2/00;SACYR;0,22;0,22%;ES0182870214;Industrial;ES0182870016;;;;
32000-ES0178430E18;32000;3;2000;1/3/00;TELEFONICA;24,37;24,37%;ES0178430E18;Telecommunications Services;;;;;
32000-ES0113211835;32000;3;2000;1/3/00;BBV.ARGENTARIA;12,73;12,73%;ES0113211835;Financials;ES0113211033;;;;
32000-ES0113900J37;32000;3;2000;1/3/00;BANCO SANTANDER;12,71;12,71%;ES0113900J37;Financials;ES0113900G30;;;;
32000-ES0173516115;32000;3;2000;1/3/00;REPSOL YPF;7,70;7,70%;ES0173516115;Energy;ES0173516016;;;;
32000-ES0130670112;32000;3;2000;1/3/00;ENDESA;7,18;7,18%;ES0130670112;Utilities;ES0130670013;;;;
32000-ES0178174019;32000;3;2000;1/3/00;TERRA;6,67;6,67%;ES0178174019;Telecommunications Services;;;;;
32000-ES0144580Y14;32000;3;2000;1/3/00;IBERDROLA;3,48;3,48%;ES0144580Y14;Utilities;ES0144580018;;;;
32000-ES0116870314;32000;3;2000;1/3/00;NATURGY ENERGY;2,58;2,58%;ES0116870314;Utilities;ES0116870215;ES0116870413;;;
32000-ES0109067019;32000;3;2000;1/3/00;AMADEUS;2,04;2,04%;ES0109067019;Technology;ES0184633032;;;;
32000-ES0113790226;32000;3;2000;1/3/00;BANCO POPULAR ESPANOL;1,97;1,97%;ES0113790226;Financials;ES0113790531;ES0113790234;;;
32000-ES0181380710;32000;3;2000;1/3/00;UNION FENOSA;1,85;1,85%;ES0181380710;Utilities;ES0181380017;;;;
32000-ES0178419117;32000;3;2000;1/3/00;TPI;1,58;1,58%;ES0178419117;Energy;ES0178419018;;;;
32000-ES0113679I37;32000;3;2000;1/3/00;BANKINTER 'R';1,39;1,39%;ES0113679I37;Financials;ES0113679338;;;;
32000-ES0178483139;32000;3;2000;1/3/00;SOGECABLE;1,32;1,32%;ES0178483139;Telecommunications Services;;;;;
32000-ES0177040013;32000;3;2000;1/3/00;ALTADIS;1,27;1,27%;ES0177040013;Consumer Non-Cyclical;;;;;
32000-ES0125220311;32000;3;2000;1/3/00;ACCIONA;0,88;0,88%;ES0125220311;Industrial;;;;;
32000-ES0122060314;32000;3;2000;1/3/00;FCC;0,76;0,76%;ES0122060314;Industrial;;;;;
32000-ES0144460112;32000;3;2000;1/3/00;H.CANTABRICO;0,74;0,74%;ES0144460112;Industrial;;;;;
32000-ES0111845014;32000;3;2000;1/3/00;ABERTIS;0,74;0,74%;ES0111845014;Industrial;;;;;
32000-ES0118095019;32000;3;2000;1/3/00;CARREFOUR;0,73;0,73%;ES0118095019;Consumer Non-Cyclical;;;;;
32000-ES0117160111;32000;3;2000;1/3/00;COR.ALBA;0,71;0,71%;ES0117160111;Financials;ES0117160012;;;;
32000-ES0132105018;32000;3;2000;1/3/00;ACERINOX 'R';0,68;0,68%;ES0132105018;Industrial;ES0132105331;;;;
32000-ES0141330C19;32000;3;2000;1/3/00;AG.BARCELONA;0,64;0,64%;ES0141330C19;Industrial;;;;;
32000-ES0162601019;32000;3;2000;1/3/00;FERROVIAL;0,64;0,64%;ES0162601019;Industrial;ES0162601019;;;;error
32000-ES0176252718;32000;3;2000;1/3/00;MELIA HOTELS INTL.;0,64;0,64%;ES0176252718;Consumer Cyclical;;;;;
32000-ES0178344117;32000;3;2000;1/3/00;TELEPIZZA;0,56;0,56%;ES0178344117;Consumer Cyclical;ES0178344315;;;;
32000-ES0118594417;32000;3;2000;1/3/00;INDRA SISTEMAS;0,53;0,53%;ES0118594417;Technology;ES0118594011;;;;
32000-ES0118096017;32000;3;2000;1/3/00;CONTINENTE;0,48;0,48%;ES0118096017;Consumer Non-Cyclical;;;;;
32000-ES0167050915;32000;3;2000;1/3/00;ACS ACTIV.CONSTR.Y SERV.;0,45;0,45%;ES0167050915;Industrial;ES0167050311;;;;
32000-ES0138991015;32000;3;2000;1/3/00;ACERALIA;0,44;0,44%;ES0138991015;Industrial;;;;;
32000-ES0127070110;32000;3;2000;1/3/00;DRAGADOS;0,44;0,44%;ES0127070110;Industrial;;;;;
32000-ES0111847036;32000;3;2000;1/3/00;AUREA;0,31;0,31%;ES0111847036;Industrial;;;;;
32000-ES0161560018;32000;3;2000;1/3/00;NH HOTELES;0,28;0,28%;ES0161560018;Consumer Cyclical;;;;;
32000-ES0124244E34;32000;3;2000;1/3/00;MAPFRE;0,28;0,28%;ES0124244E34;Financials;ES0124244C36;ES0124244A38;;;
32000-ES0182870214;32000;3;2000;1/3/00;SACYR;0,26;0,26%;ES0182870214;Industrial;ES0182870016;;;;
42000-ES0178430E18;42000;4;2000;1/4/00;TELEFONICA;23,44;23,44%;ES0178430E18;Telecommunications Services;;;;;
42000-ES0113900J37;42000;4;2000;1/4/00;BANCO SANTANDER;13,80;13,80%;ES0113900J37;Financials;ES0113900G30;;;;
42000-ES0113211835;42000;4;2000;1/4/00;BBV.ARGENTARIA;12,90;12,90%;ES0113211835;Financials;ES0113211033;;;;
42000-ES0173516115;42000;4;2000;1/4/00;REPSOL YPF;7,85;7,85%;ES0173516115;Energy;ES0173516016;;;;
42000-ES0130670112;42000;4;2000;1/4/00;ENDESA;7,41;7,41%;ES0130670112;Utilities;ES0130670013;;;;
42000-ES0178174019;42000;4;2000;1/4/00;TERRA;5,59;5,59%;ES0178174019;Telecommunications Services;;;;;
42000-ES0144580Y14;42000;4;2000;1/4/00;IBERDROLA;3,73;3,73%;ES0144580Y14;Utilities;ES0144580018;;;;
42000-ES0116870314;42000;4;2000;1/4/00;NATURGY ENERGY;2,42;2,42%;ES0116870314;Utilities;ES0116870215;ES0116870413;;;
42000-ES0109067019;42000;4;2000;1/4/00;AMADEUS;2,36;2,36%;ES0109067019;Technology;ES0184633032;;;;
42000-ES0113790226;42000;4;2000;1/4/00;BANCO POPULAR ESPANOL;1,89;1,89%;ES0113790226;Financials;ES0113790531;ES0113790234;;;
42000-ES0181380710;42000;4;2000;1/4/00;UNION FENOSA;1,88;1,88%;ES0181380710;Utilities;ES0181380017;;;;
42000-ES0178419117;42000;4;2000;1/4/00;TPI;1,57;1,57%;ES0178419117;Energy;ES0178419018;;;;
42000-ES0178483139;42000;4;2000;1/4/00;SOGECABLE;1,33;1,33%;ES0178483139;Telecommunications Services;;;;;
42000-ES0177040013;42000;4;2000;1/4/00;ALTADIS;1,22;1,22%;ES0177040013;Consumer Non-Cyclical;;;;;
42000-ES0113679I37;42000;4;2000;1/4/00;BANKINTER 'R';1,14;1,14%;ES0113679I37;Financials;ES0113679338;;;;
42000-ES0125220311;42000;4;2000;1/4/00;ACCIONA;0,87;0,87%;ES0125220311;Industrial;;;;;
42000-ES0144460112;42000;4;2000;1/4/00;H.CANTABRICO;0,80;0,80%;ES0144460112;Industrial;;;;;
42000-ES0122060314;42000;4;2000;1/4/00;FCC;0,79;0,79%;ES0122060314;Industrial;;;;;
42000-ES0111845014;42000;4;2000;1/4/00;ABERTIS;0,75;0,75%;ES0111845014;Industrial;;;;;
42000-ES0132105018;42000;4;2000;1/4/00;ACERINOX 'R';0,75;0,75%;ES0132105018;Industrial;ES0132105331;;;;
42000-ES0118095019;42000;4;2000;1/4/00;CARREFOUR;0,74;0,74%;ES0118095019;Consumer Non-Cyclical;;;;;
42000-ES0176252718;42000;4;2000;1/4/00;MELIA HOTELS INTL.;0,68;0,68%;ES0176252718;Consumer Cyclical;;;;;
42000-ES0117160111;42000;4;2000;1/4/00;COR.ALBA;0,67;0,67%;ES0117160111;Financials;ES0117160012;;;;
42000-ES0141330C19;42000;4;2000;1/4/00;AG.BARCELONA;0,65;0,65%;ES0141330C19;Industrial;;;;;
42000-ES0162601019;42000;4;2000;1/4/00;FERROVIAL;0,60;0,60%;ES0162601019;Industrial;ES0162601019;;;;error
42000-ES0118594417;42000;4;2000;1/4/00;INDRA SISTEMAS;0,56;0,56%;ES0118594417;Technology;ES0118594011;;;;
42000-ES0178344117;42000;4;2000;1/4/00;TELEPIZZA;0,56;0,56%;ES0178344117;Consumer Cyclical;ES0178344315;;;;
42000-ES0167050915;42000;4;2000;1/4/00;ACS ACTIV.CONSTR.Y SERV.;0,49;0,49%;ES0167050915;Industrial;ES0167050311;;;;
42000-ES0118096017;42000;4;2000;1/4/00;CONTINENTE;0,48;0,48%;ES0118096017;Consumer Non-Cyclical;;;;;
42000-ES0138991015;42000;4;2000;1/4/00;ACERALIA;0,44;0,44%;ES0138991015;Industrial;;;;;
42000-ES0127070110;42000;4;2000;1/4/00;DRAGADOS;0,42;0,42%;ES0127070110;Industrial;;;;;
42000-ES0111847036;42000;4;2000;1/4/00;AUREA;0,32;0,32%;ES0111847036;Industrial;;;;;
42000-ES0161560018;42000;4;2000;1/4/00;NH HOTELES;0,30;0,30%;ES0161560018;Consumer Cyclical;;;;;
42000-ES0124244E34;42000;4;2000;1/4/00;MAPFRE;0,30;0,30%;ES0124244E34;Financials;ES0124244C36;ES0124244A38;;;
42000-ES0182870214;42000;4;2000;1/4/00;SACYR;0,28;0,28%;ES0182870214;Industrial;ES0182870016;;;;
52000-ES0178430E18;52000;5;2000;1/5/00;TELEFONICA;22,46;22,46%;ES0178430E18;Telecommunications Services;;;;;
52000-ES0113211835;52000;5;2000;1/5/00;BBV.ARGENTARIA;14,63;14,63%;ES0113211835;Financials;ES0113211033;;;;
52000-ES0113900J37;52000;5;2000;1/5/00;BANCO SANTANDER;13,42;13,42%;ES0113900J37;Financials;ES0113900G30;;;;
52000-ES0173516115;52000;5;2000;1/5/00;REPSOL YPF;8,46;8,46%;ES0173516115;Energy;ES0173516016;;;;
52000-ES0130670112;52000;5;2000;1/5/00;ENDESA;7,33;7,33%;ES0130670112;Utilities;ES0130670013;;;;
52000-ES0178174019;52000;5;2000;1/5/00;TERRA;4,27;4,27%;ES0178174019;Telecommunications Services;;;;;
52000-ES0144580Y14;52000;5;2000;1/5/00;IBERDROLA;3,85;3,85%;ES0144580Y14;Utilities;ES0144580018;;;;
52000-ES0116870314;52000;5;2000;1/5/00;NATURGY ENERGY;2,64;2,64%;ES0116870314;Utilities;ES0116870215;ES0116870413;;;
52000-ES0113790226;52000;5;2000;1/5/00;BANCO POPULAR ESPANOL;2,32;2,32%;ES0113790226;Financials;ES0113790531;ES0113790234;;;
52000-ES0181380710;52000;5;2000;1/5/00;UNION FENOSA;2,12;2,12%;ES0181380710;Utilities;ES0181380017;;;;
